rev_Mean,mou_Mean,totmrc_Mean,roam_Mean,change_mou,change_rev,churn,months,uniqsubs,actvsubs,new_cell,totcalls,totmou,totrev,area,phones,hnd_webcap,income,creditcd,Customer_ID
"63,0175","440,25","59,98","1,3125","-16,25","0,2125",0,57,1,1,N,4078,11330,"1739,43",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,3,Y,1000017
"35,59",153,"29,99",0,30,"7,35",0,59,3,2,N,7043,12661,"2036,85",NORTHWEST/ROCKY MOUNTAIN AREA,6,WC,4,Y,1000018
"55,27","1212,75","49,99","1,285","169,25","0,99",0,52,1,1,N,8468,23835,"1935,97",DALLAS AREA,4,WC,3,Y,1000019
"50,965",162,"69,99",0,-58,"-0,975",0,56,1,1,Y,1319,"4531,016667","1348,33",CHICAGO AREA,4,WCMB,1,N,1000020
"172,44",1978,"99,99",0,-1007,"-72,45",1,58,2,1,U,28477,"79406,01667","6751,7",TENNESSEE AREA,4,WCMB,6,Y,1000021
"60,185","1424,5","56,25",0,"-1134,5","-55,185",1,54,1,1,U,79038,"117808,04","6005,39",NORTHWEST/ROCKY MOUNTAIN AREA,13,WCMB,5,Y,1000022
"244,0975","1771,5","99,99","0,39","397,5","82,1325",1,52,1,1,N,27530,"64174,80667","7419,73",NORTHWEST/ROCKY MOUNTAIN AREA,8,WCMB,,N,1000023
"30,205",360,"29,99",0,-105,"-0,215",1,54,1,1,Y,5145,"10451,09667","1122,8",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,5,Y,1000024
"25,4925","299,5","24,99",0,"-47,5","-0,5025",0,52,2,2,Y,4761,14984,"1312,65",NORTHWEST/ROCKY MOUNTAIN AREA,2,WCMB,6,N,1000025
"29,99",47,"29,99",0,14,0,0,54,3,3,Y,2048,3896,"1614,8",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,9,Y,1000026
"51,025","382,25","48,79",0,"226,75","2,695",1,52,1,1,Y,13600,"30020,16","3513,41",NORTHWEST/ROCKY MOUNTAIN AREA,3,WC,9,Y,1000027
"37,6625","971,75","35,99",0,"25,25","-1,6725",0,58,1,1,Y,8893,16916,"1944,11",GREAT LAKES AREA,2,WCMB,1,Y,1000028
"98,4225",608,"94,99",0,-563,"-12,4425",1,56,5,4,N,17915,42715,"3829,33",NEW ENGLAND AREA,5,WCMB,6,Y,1000029
"30,26","34,5","29,99",0,"32,5","-0,27",0,52,1,1,Y,3745,6020,"2204,39",CENTRAL/SOUTH TEXAS AREA,2,WCMB,,N,1000030
"24,49","41,75","16,99",0,"81,25","29,93",1,58,2,1,N,3195,"8864,016667","2028,12",MIDWEST AREA,3,WCMB,9,N,1000031
30,94,30,0,-54,0,0,54,1,1,Y,1665,3256,"1615,61",CENTRAL/SOUTH TEXAS AREA,2,NA,3,Y,1000032
"35,5525","138,75","34,99",0,"-10,75","-0,5625",0,52,1,1,N,4178,9279,"1830,13",DALLAS AREA,4,WCMB,5,Y,1000033
"21,15","45,5","16,99",0,"-15,5","-4,16",0,58,1,1,Y,657,1522,"1174,43",MIDWEST AREA,2,WCMB,7,Y,1000034
"28,5","65,75",30,0,"41,25",0,0,56,2,1,N,3897,"6246,02","1873,74",NORTHWEST/ROCKY MOUNTAIN AREA,2,WC,9,Y,1000035
"99,9125","1193,75",75,0,"-13,75","-0,1625",0,54,1,1,N,22974,"55673,23","4566,18",MIDWEST AREA,4,WCMB,7,Y,1000036
30,"155,75",30,0,"94,25",0,0,56,2,2,Y,2139,3827,"1518,34",MIDWEST AREA,5,WCMB,9,Y,1000037
"22,3675","90,75","16,99",0,"26,25","3,0725",1,52,1,1,Y,1226,3109,"1006,81",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,7,Y,1000038
"33,5625","197,5",30,0,"123,5","4,8375",1,58,1,1,N,9655,"16089,60333","2362,05",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,9,Y,1000039
"33,4775","195,5","29,99","2,565","54,5","8,5725",1,54,2,1,Y,3599,"5970,016667","1591,01",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,9,Y,1000040
"82,1625",660,50,"1,9375",-184,"-31,5625",0,57,3,3,U,5676,13430,"2741,17",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,8,Y,1000041
30,56,30,0,-47,0,0,53,2,2,N,2858,4832,"1451,04",MIDWEST AREA,4,WCMB,9,Y,1000042
"55,5125",262,"54,98",0,3,"-0,5325",1,51,1,1,Y,5987,19426,"2909,82",MIDWEST AREA,4,WC,,N,1000043
"16,14","3,75","16,99",0,"-3,75",0,1,55,1,1,Y,318,1370,"968,88",DALLAS AREA,1,NA,6,Y,1000044
"59,99","67,75","69,99",0,"-42,75",0,1,57,2,2,N,3683,8471,"2382,62",CHICAGO AREA,3,NA,6,Y,1000045
"57,98","683,75","54,98",0,"-1,75","0,6",1,55,2,1,N,11193,"35976,01667","3808,91",PHILADELPHIA AREA,2,WC,9,Y,1000046
"32,055","137,75",30,0,"-5,75","-2,055",1,51,3,3,Y,2908,4672,1555,NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,5,Y,1000047
"78,2875","851,5",85,0,"-205,5","-0,0375",1,53,5,4,N,14937,32772,"3187,88",CENTRAL/SOUTH TEXAS AREA,8,WCMB,5,Y,1000048
"107,235",782,"24,99",0,-258,"-80,045",1,55,1,1,Y,5104,9615,"1803,31",NORTHWEST/ROCKY MOUNTAIN AREA,5,WCMB,7,Y,1000049
"54,2275","210,25","52,99",0,"-32,25","-1,2375",1,57,2,1,N,18690,"52365,07667","7671,92",NORTHWEST/ROCKY MOUNTAIN AREA,7,WCMB,,N,1000050
"30,26","23,75","29,99",0,"25,25","-0,27",1,51,1,1,N,5742,"19818,04","2870,33",TENNESSEE AREA,3,WC,3,Y,1000051
"44,1775","329,5","34,98",0,"82,5","2,6525",1,53,2,2,Y,4186,"6269,126667","1421,72",NORTHWEST/ROCKY MOUNTAIN AREA,2,WC,8,Y,1000052
"35,5625","112,75","29,99","0,9875","-6,75","-1,0225",1,51,3,2,Y,2103,4640,"1702,17",NORTHWEST/ROCKY MOUNTAIN AREA,3,WC,3,Y,1000053
"145,795","1293,25","67,745",0,"446,75","22,395",0,55,2,2,Y,9700,"25170,02","3310,08",MIDWEST AREA,4,WC,9,Y,1000054
"31,4475",56,30,0,-34,"-1,4475",1,55,1,1,Y,5052,7942,"2399,93",MIDWEST AREA,1,NA,7,Y,1000055
"50,5625","100,25",50,0,"5,75","0,0375",1,53,1,1,N,11923,"21968,11667","3252,01",CENTRAL/SOUTH TEXAS AREA,4,NA,,N,1000056
"51,24","404,25","49,99",0,"49,75","-1,25",1,55,1,1,Y,11822,35711,"3836,3",MIDWEST AREA,3,NA,6,Y,1000057
"20,18","1,25",20,0,"-0,25","-0,18",0,50,1,1,Y,208,481,"1048,76",OHIO AREA,1,NA,7,N,1000058
"36,8375","35,5","44,99","1,8475","0,5","0,4625",1,55,3,2,N,3794,"8925,07","2415,79",NORTHWEST/ROCKY MOUNTAIN AREA,2,NA,7,Y,1000059
"37,99",71,"37,99",0,146,0,0,53,1,1,U,3604,10721,"2811,89",MIDWEST AREA,1,NA,7,Y,1000060
"45,75","150,75",30,"15,455","-40,75","1,48",1,50,1,1,N,3709,5037,"1719,71",MIDWEST AREA,3,WC,5,N,1000061
"42,885",406,40,0,88,"3,565",0,50,1,1,N,6008,12776,"2191,84",CENTRAL/SOUTH TEXAS AREA,2,NA,5,Y,1000062
"91,175","332,75",75,0,"-30,75","-5,425",0,50,2,2,Y,7714,14451,"3872,66",MIDWEST AREA,3,WCMB,6,Y,1000063
"342,8575","2961,25","139,96","62,335","203,75","6,8825",0,52,2,2,N,50971,"120185,5167","12610,01",TENNESSEE AREA,10,WCMB,,N,1000064
"54,96",244,"51,99",0,15,"1,98",0,54,1,1,N,4680,"14131,01667","3341,61",MIDWEST AREA,4,WCMB,6,Y,1000065
"29,735","65,25","29,99",0,"75,75","-0,255",0,50,2,1,Y,27916,"58808,64333","4231,59",CENTRAL/SOUTH TEXAS AREA,8,NA,6,Y,1000066
"81,8","859,5",75,0,"-35,5","-5,81",1,54,2,2,N,20309,"48234,07","6499,11",CENTRAL/SOUTH TEXAS AREA,5,WCMB,9,Y,1000067
"149,99","2382,5","149,99",0,"-230,5",0,1,56,3,3,Y,46322,93239,"5316,61",CENTRAL/SOUTH TEXAS AREA,18,WCMB,6,Y,1000068
"50,485","380,25","59,99",0,"92,75","-0,495",1,56,1,1,Y,5930,13075,"2130,37",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,6,Y,1000069
"53,46","383,5",50,0,"-214,5","-3,46",1,54,1,1,N,14080,"24958,11333","2762,23",HOUSTON AREA,2,NA,9,Y,1000070
"84,9075",745,"84,99",0,367,"-8,9275",0,50,1,1,N,17767,"37287,02","3724,66",CENTRAL/SOUTH TEXAS AREA,4,WC,3,Y,1000071
"75,665","241,75","74,99",0,"-19,75","-0,675",1,50,1,1,N,3931,"16488,01667","2954,67",DALLAS AREA,4,WCMB,6,Y,1000072
"17,4275","19,75","16,99",0,"15,25","1,3125",0,56,1,1,U,666,1002,"957,03",TENNESSEE AREA,1,NA,4,Y,1000073
"107,25",1671,75,0,-641,"-29,7",0,54,1,1,N,36495,80944,"5347,69",MIDWEST AREA,4,WC,,N,1000074
"163,54","1437,5","82,95","0,0975","-185,5","93,93",0,50,2,1,Y,35647,"73746,97","6770,5",SOUTHWEST AREA,7,WCMB,7,N,1000075
"66,285","1229,75","59,99",0,"217,25","-8,565",0,52,1,1,Y,14444,"39416,08667","3130,78",CENTRAL/SOUTH TEXAS AREA,7,NA,7,Y,1000076
"26,045",1347,10,0,-1080,"-13,575",1,56,5,2,Y,15804,"51246,21333","3956,34",CENTRAL/SOUTH TEXAS AREA,6,WCMB,5,Y,1000077
"21,12","17,75","18,87",0,"10,25","12,11",0,54,1,1,N,636,799,"1155,7",DALLAS AREA,2,NA,7,Y,1000078
"36,085",40,35,"0,585",-16,"-1,085",1,52,1,1,Y,1194,2184,"1458,92",NEW ENGLAND AREA,4,NA,4,Y,1000079
"136,4175",560,"70,5175",0,79,"64,5625",1,56,3,2,N,10464,37396,"5715,43",DALLAS AREA,6,WCMB,,N,1000080
"76,7375","1007,75","59,99","6,6775","-51,75","5,3625",0,52,3,3,U,12566,23282,"2805,23",MIDWEST AREA,7,WCMB,7,Y,1000081
5,0,0,0,0,0,1,56,4,3,N,13929,29101,"4143,09",CENTRAL/SOUTH TEXAS AREA,12,NA,,N,1000082
"196,7625",3479,85,0,-394,"-36,2825",0,54,3,2,Y,82054,"159001,3467","9157,72",TENNESSEE AREA,7,WC,7,Y,1000083
"55,19","1087,75","69,99",0,"109,25","15,6",0,54,2,2,U,9288,33739,"3064,01",TENNESSEE AREA,7,WCMB,7,Y,1000084
"93,02","1348,25",75,"1,92","-165,25","24,65",0,56,1,1,N,23248,"56408,07333","4933,34",CENTRAL/SOUTH TEXAS AREA,8,WCMB,7,Y,1000085
"97,59",1804,75,0,-343,"20,9",0,50,1,1,Y,48462,"87509,44667","4947,72",TENNESSEE AREA,13,WCMB,4,Y,1000086
"79,445","831,25","74,99",0,"118,75","1,485",0,56,1,1,U,13715,"35938,10333","4509,02",DALLAS AREA,8,WCMB,8,Y,1000087
"56,315","1010,5","59,99",0,"13,5","-3,075",0,52,1,1,N,5541,25371,"3688,26",MIDWEST AREA,10,WCMB,1,Y,1000088
"79,595",828,75,"2,115",299,"-1,085",0,50,1,1,Y,26957,"47486,04","4001,18",MIDWEST AREA,5,WCMB,2,Y,1000089
30,"149,5",30,0,"28,5",0,1,56,1,1,N,1693,4909,"1402,64",MIDWEST AREA,3,WCMB,5,Y,1000090
"35,305",148,"44,99",0,-86,"-0,315",0,50,1,1,N,8530,"14851,02","2629,27",MIDWEST AREA,3,WC,6,Y,1000091
"40,7125","364,75","34,98",0,"-30,75","-2,4825",0,50,1,1,U,11530,"20402,21667","2039,23",MIDWEST AREA,3,NA,5,Y,1000092
"72,81",1306,"77,8975",0,-462,"-76,29",0,52,2,2,N,23298,88248,"5455,38",MIDWEST AREA,9,WCMB,7,Y,1000093
"75,7325","492,75","84,99",0,"-195,75","-0,7425",0,52,1,1,N,2987,18586,"2898,72",OHIO AREA,5,WCMB,9,Y,1000094
"49,99","820,5","59,99",0,"26,5",0,0,56,1,1,N,12808,43342,"4414,7",TENNESSEE AREA,3,WCMB,7,Y,1000095
"23,5","33,75",15,0,"19,25",4,0,52,1,1,Y,554,787,"990,88",DALLAS AREA,1,NA,6,Y,1000096
"29,99","148,5","29,99",0,"20,5",0,0,54,1,1,Y,2144,4951,"1536,65",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,1,N,1000097
"94,135","1216,25",75,0,"-244,25","17,085",1,52,2,1,N,26723,"58683,05","4316,34",CENTRAL/SOUTH TEXAS AREA,5,WCMB,6,Y,1000098
"103,2825",1376,"84,99","7,6625",355,"52,8975",0,56,2,1,N,13174,39348,"4984,62",CENTRAL/SOUTH TEXAS AREA,2,WCMB,4,Y,1000099
"71,8575","537,5",75,0,"58,5","-0,6075",0,54,3,2,Y,13749,"46945,17","4413,79",CENTRAL/SOUTH TEXAS AREA,4,WCMB,7,Y,1000100
"243,975",2347,"59,99","0,585",109,"-11,585",1,56,1,1,N,2592,"14390,01667",2903,NEW YORK CITY AREA,2,WCMB,,N,1000101
"114,1325","1649,75",83,0,"-176,75","17,9175",0,50,6,4,N,25904,"73379,10333","4753,44",CENTRAL/SOUTH TEXAS AREA,4,WCMB,4,Y,1000102
"90,25","951,5",50,0,"308,5","51,25",1,54,1,1,Y,11950,18363,"2378,78",NORTHWEST/ROCKY MOUNTAIN AREA,2,NA,,,1000103
"53,79",1020,58,0,110,"-50,82",1,54,1,1,N,18841,41961,"3525,73",CENTRAL/SOUTH TEXAS AREA,7,WCMB,6,N,1000104
"45,8475","69,5","50,4775","0,39","-13,5","16,4325",0,52,2,2,Y,1663,3441,"1803,27",NEW YORK CITY AREA,4,WCMB,6,Y,1000105
"95,1675",161,"88,5425",0,78,"34,0025",0,56,4,4,N,7025,16386,"4102,69",DALLAS AREA,2,WC,,N,1000106
"90,6125","1151,25","94,99",0,"224,75","-5,6225",1,54,4,2,N,4344,29840,"3827,49",SOUTHWEST AREA,2,NA,,N,1000107
"103,08","987,5","79,99",0,"-153,5","-28,14",1,50,1,1,N,11021,"21669,11333","3340,74",HOUSTON AREA,2,WC,4,Y,1000108
"226,005","2337,5",78,"1,92","-365,5","-95,445",0,54,1,1,N,18036,"50507,02","6453,46",CENTRAL/SOUTH TEXAS AREA,5,WCMB,,N,1000109
"94,925","1655,75",75,0,"-51,75","-7,295",1,52,1,1,N,30811,"67742,45","4811,88",DALLAS AREA,11,WC,9,Y,1000110
"105,845",784,"79,99","17,7575",-30,"18,435",0,54,2,2,Y,92076,155186,"7997,44",DALLAS AREA,24,WCMB,6,Y,1000111
"34,94","294,5","32,705",0,"77,5","3,9",1,52,1,1,Y,6417,"13275,05333","1347,22",HOUSTON AREA,2,WC,5,Y,1000112
"30,26","24,75","29,99",0,"-24,75","-0,27",0,50,1,1,N,931,3118,"1284,5",TENNESSEE AREA,1,NA,6,Y,1000113
"90,75",1229,"69,99",0,-254,"-18,48",1,50,3,3,N,21647,"38143,03333","3585,21",SOUTHWEST AREA,5,WCMB,8,Y,1000114
"113,5225","1807,25",85,"1,0025","-373,25","-16,3925",0,52,2,1,N,39755,"95177,01667","5793,13",CENTRAL/SOUTH TEXAS AREA,9,WCMB,7,Y,1000115
"51,4625",368,"44,99","0,8425",-174,"-13,7125",1,56,1,1,N,3361,10712,"1960,56",DALLAS AREA,3,NA,6,Y,1000116
"35,5825","291,25","44,99",0,"-18,25","0,3975",0,52,1,1,Y,878,2607,"405,83",CHICAGO AREA,3,WCMB,5,N,1000117
"125,47","1697,25",75,"9,575","-167,25","-19,22",0,54,3,3,Y,35934,"75351,91667","6165,85",DALLAS AREA,11,WCMB,2,Y,1000118
"114,5425","1171,5",83,"8,6525","183,5","-27,8125",0,54,1,1,Y,33075,"54202,03","5419,91",CENTRAL/SOUTH TEXAS AREA,4,NA,7,Y,1000119
"18,25",8,"16,99",0,-8,"-1,26",1,50,1,1,Y,239,765,"1026,04",NORTHWEST/ROCKY MOUNTAIN AREA,2,WCMB,1,Y,1000120
"33,85",225,"29,99",0,74,"-2,51",0,54,1,1,Y,1660,9703,"2501,99",NEW YORK CITY AREA,1,NA,3,Y,1000121
"78,575","1356,5","74,99",0,"-44,5","-2,595",0,56,2,1,N,40188,"99927,12",5721,MIDWEST AREA,15,WCMB,9,Y,1000122
"138,48","1579,75","76,99",0,"-337,75","-57,53",1,50,1,1,Y,22095,"70407,48","7152,21",HOUSTON AREA,7,WCMB,,N,1000123
"159,5175","2255,75","82,99","0,585","-2238,75","-76,5275",1,54,2,2,Y,46979,"121258,25","6769,75",CENTRAL/SOUTH TEXAS AREA,12,WCMB,3,Y,1000124
"21,55","14,5","19,99",0,"-14,5","-1,56",0,52,1,1,N,5620,12061,"2118,57",SOUTHWEST AREA,5,WC,,N,1000125
"50,485",711,"49,99",0,-53,"-0,495",0,56,1,1,N,10759,18695,"2972,76",NEW YORK CITY AREA,3,WCMB,6,Y,1000126
75,"342,75",75,0,"-59,75",0,0,54,1,1,N,4156,7679,"4293,64",CENTRAL/SOUTH TEXAS AREA,4,WCMB,6,Y,1000127
"281,33","3807,75","182,9375",0,"5,25","-76,39",0,50,1,1,Y,52296,"114237,7667","7437,16",CENTRAL/SOUTH TEXAS AREA,6,WCMB,6,Y,1000128
"97,8275","1669,5",83,"1,28","240,5","-8,4375",0,52,2,1,N,28061,"72377,03333","4998,28",CENTRAL/SOUTH TEXAS AREA,9,WCMB,9,Y,1000129
"12,4925",437,10,0,-233,"-2,4925",1,56,3,3,N,4468,16466,"2012,33",NEW YORK CITY AREA,4,WCMB,,N,1000130
"122,76","1633,25","77,5","1,7725","-242,25","-42,42",1,52,1,1,N,34960,"61987,22","3863,35",CENTRAL/SOUTH TEXAS AREA,9,WCMB,,N,1000131
"38,325","483,25",50,0,"-51,25","-0,825",1,52,2,1,Y,7621,19175,"2191,61",CENTRAL/SOUTH TEXAS AREA,2,WCMB,7,Y,1000132
"55,505",516,50,"0,32",-45,"-5,505",0,54,1,1,N,9553,"20980,03667","2684,93",MIDWEST AREA,4,WCMB,6,Y,1000133
"83,495","256,5",83,0,"-256,5","-0,495",1,52,3,2,N,7299,14648,"4307,11",CENTRAL/SOUTH TEXAS AREA,4,WC,7,Y,1000134
"70,19","797,25",60,0,"-9,25","-9,39",0,49,1,1,N,17506,"33967,03333","3637,23",DALLAS AREA,3,WCMB,5,Y,1000135
18,"14,25",15,0,"-7,25","-1,5",0,56,1,1,N,572,1057,"1108,15",DALLAS AREA,2,WCMB,7,Y,1000136
"58,8225",250,"29,99",0,49,"11,4675",0,49,1,1,N,4529,"8377,036667","2503,84",MIDWEST AREA,4,WCMB,8,Y,1000137
"30,8625",181,30,"0,0975",-146,"-0,8625",1,49,1,1,Y,4152,"6525,75","1597,31",DALLAS AREA,3,WCMB,4,Y,1000138
"104,745",1166,75,"0,5175",-119,"-1,935",0,49,3,3,Y,32995,"82835,24","6721,36",DALLAS AREA,5,WCMB,,N,1000139
"83,9375","1276,25","84,99",0,"83,75","22,8425",1,53,2,1,N,20008,"48539,06333","4701,1",OHIO AREA,3,NA,6,Y,1000140
"22,555",56,"16,99",0,48,"1,225",1,55,1,1,Y,901,1997,"1104,32",MIDWEST AREA,1,NA,6,Y,1000141
"157,76","1328,5","79,1575","0,585","-128,5","-2,75",0,49,3,3,N,11950,"27570,02","3971,38",NEW YORK CITY AREA,3,WCMB,,N,1000142
"260,805","3209,75","212,99",0,"-421,75","-21,185",0,53,2,1,U,56029,"126950,6833","11911,76",CENTRAL/SOUTH TEXAS AREA,11,WCMB,5,N,1000143
"74,24","221,25",45,"26,7425","-206,25","-28,07",1,55,2,1,Y,19297,"32950,25333","4133,51",CENTRAL/SOUTH TEXAS AREA,6,WCMB,4,Y,1000144
"36,39","65,5","29,99",0,"-65,5","-6,4",1,51,1,1,N,15848,"30841,09333","4425,28",MIDWEST AREA,2,WC,7,Y,1000145
"78,0675","641,25",75,0,"190,75","-0,1275",1,51,2,2,N,18446,"39884,29","4271,11",DALLAS AREA,4,WC,4,Y,1000146
50,"153,75",50,0,"-46,75",0,0,51,1,1,N,4090,10895,"2091,04",CENTRAL/SOUTH TEXAS AREA,1,NA,7,Y,1000147
"106,3325","2205,5","84,99",0,"-102,5","-21,1925",1,53,1,1,N,26791,59100,"4725,59",HOUSTON AREA,9,WCMB,1,Y,1000148
"79,2825","425,5",75,0,"-235,5","-3,2925",1,55,1,1,N,17151,"54187,15","4831,82",CENTRAL/SOUTH TEXAS AREA,7,WCMB,6,Y,1000149
"122,005","1806,5",75,"0,995","-155,5","-32,845",0,49,2,1,Y,19531,"54176,61667","4766,58",CENTRAL/SOUTH TEXAS AREA,7,WCMB,,,1000150
"34,99","43,75","44,99",0,"-34,75",0,0,51,1,1,Y,1067,1931,"1357,06",MIDWEST AREA,11,WC,,N,1000151
"40,6825","270,75","44,99","0,195","137,25","16,7275",1,53,1,1,N,3416,"8373,163333","2114,12",CENTRAL/SOUTH TEXAS AREA,5,WCMB,7,Y,1000152
"79,1775","724,75","74,99",0,"15,25","-1,8775",0,49,3,3,N,11651,"27964,18667","4410,41",SOUTHWEST AREA,7,WCMB,,N,1000153
"120,38","1729,5","86,98",0,"474,5","27,43",0,55,1,1,N,29114,"77792,05","5810,38",DALLAS AREA,8,WCMB,3,Y,1000154
"27,245",0,27,0,0,"-0,245",1,49,1,1,N,2820,4322,"1733,22",MIDWEST AREA,5,WC,8,Y,1000155
"74,055","1299,5",75,0,"186,5","-68,885",1,53,2,2,Y,37445,62631,"4350,65",CENTRAL/SOUTH TEXAS AREA,14,WCMB,5,Y,1000156
"96,04",545,"59,99","1,136666667",,,0,53,2,1,N,2438,7736,"1409,27",GREAT LAKES AREA,4,WCMB,,N,1000157
"56,025","557,25",50,0,"48,75","-0,825",0,51,2,2,Y,10231,28202,"3067,2",CENTRAL/SOUTH TEXAS AREA,3,WC,9,Y,1000158
"83,825","790,5",75,0,"-60,5","0,875",1,51,1,1,N,38175,"60027,15667","4153,88",DALLAS AREA,6,WC,7,Y,1000159
"30,3225","218,75","30,3225",0,"-57,75","-59,0325",0,51,2,2,N,2705,10130,"2793,6",CENTRAL/SOUTH TEXAS AREA,2,WC,6,Y,1000160
30,"17,5",30,0,"-12,5",0,1,55,1,1,Y,1051,1806,"1710,13",PHILADELPHIA AREA,1,NA,7,Y,1000161
"108,7225","1228,5","107,98",0,"-12,5","-0,7425",0,55,1,1,N,26839,"73420,04","5754,55",CENTRAL/SOUTH TEXAS AREA,11,WCMB,4,Y,1000162
"43,0025","217,5","29,99","0,2925","-0,5","16,6375",1,49,1,1,N,10370,"39548,23","4082,29",OHIO AREA,2,WC,9,Y,1000163
"32,27","112,5","31,98",0,"-2,5","-0,29",0,49,1,1,N,2793,4907,"1400,34",SOUTHWEST AREA,2,WCMB,4,N,1000164
"75,875","1060,75",75,0,"100,25","-0,875",1,51,1,1,N,20057,"62951,03333","4040,71",DALLAS AREA,6,WCMB,9,Y,1000165
"30,2375","268,5","39,99",0,"62,5","-0,2475",1,53,1,1,N,4638,"14626,01667","2731,38",DALLAS AREA,6,WCMB,3,Y,1000166
"41,7925","146,75","43,865",0,"-81,75","1,4475",0,51,1,1,Y,581,1742,"1155,14",DALLAS AREA,3,WCMB,6,Y,1000167
"90,2975","1488,75",75,"2,34","317,25","18,6725",1,51,1,1,U,20235,"71967,37","4552,73",MIDWEST AREA,4,WCMB,6,Y,1000168
"43,715","244,75","29,99",0,"53,25","6,975",0,51,1,1,N,3834,5880,"1591,14",NEW YORK CITY AREA,5,WCMB,3,Y,1000169
"65,9425","572,25","58,78","1,475","-119,25","-15,5625",0,51,1,1,Y,7236,14547,"1795,65",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,,N,1000170
"32,4975",295,"29,9975",0,41,"6,4425",0,53,1,1,Y,2420,"5756,02","1452,06",NEW YORK CITY AREA,5,WCMB,4,Y,1000171
"61,5","796,25",50,0,"-47,25","-2,9",0,49,2,2,N,15674,22650,"2624,01",CENTRAL/SOUTH TEXAS AREA,4,WC,7,Y,1000172
"52,505",481,"29,99","2,7275",-84,"-5,215",1,51,2,1,N,12670,"25588,10667","2741,67",NEW ENGLAND AREA,5,WCMB,7,Y,1000173
"63,4075",1181,10,0,156,"45,5425",1,51,2,2,N,16223,"42351,05","3319,79",CENTRAL/SOUTH TEXAS AREA,5,WCMB,8,Y,1000174
"17,3525","1,25","16,95",0,"-1,25","-0,4025",0,49,1,1,Y,478,831,"753,75",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,6,Y,1000175
"109,465","2297,75","84,99",0,"-129,75","-15,075",0,53,2,1,N,28062,"91200,08667","5170,45",CENTRAL/SOUTH TEXAS AREA,6,WCMB,6,Y,1000176
